slug,provider,offer,actionButtons,chain,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
alixpay,,!offer:alixpay,,mainnet,,,,,,,
alltrust-me,,!offer:alltrust-me,,mainnet,,,,,,,
banxa,,!offer:banxa,,mainnet,,,,,,,
breet,,!offer:breet,,mainnet,,,,,,,
btcdirect,,!offer:btcdirect,,mainnet,,,,,,,
fonbnk,,!offer:fonbnk,,mainnet,,,,,,,
mercuryo,,!offer:mercuryo,,mainnet,,,,,,,
moonpay,,!offer:moonpay,"[""[Buy](https://www.moonpay.com/buy/ton)""]",mainnet,,,,,,,
onmeta,,!offer:onmeta,,mainnet,,,,,,,
onramper,,!offer:onramper,,mainnet,,,,,,,
ramp-network,,!offer:ramp-network,,mainnet,,,,,,,
swipelux,,!offer:swipelux,,mainnet,,,,,,,
transak,,!offer:transak,"[""[Buy](https://transak.com/buy/ton)""]",mainnet,,,,,,,
unigox,,!offer:unigox,,mainnet,,,,,,,
