slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Website](https://market.api3.org/sei)"",""[Docs](https://docs.api3.org/)""]",mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Website](https://www.pyth.network/)"",""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/evm)""]",mainnet,,,,,,,,,,,,
