slug,chainId,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
allthatnode-testnet-free-full-archive,56,,!offer:allthatnode-free-full-archive,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-free-recent-state,56,,!offer:allthatnode-free-recent-state,"[""[Website](https://www.allthatnode.com/protocol/aptos.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-scale-full-archive,56,,!offer:allthatnode-scale-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-scale-recent-state,56,,!offer:allthatnode-scale-recent-state,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-starter-full-archive,56,,!offer:allthatnode-starter-full-archive,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
allthatnode-testnet-starter-recent-state,56,,!offer:allthatnode-starter-recent-state,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/supported-protocols-1)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-dedicated-recent-state,56,,!offer:blockdaemon-dedicated-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/bnb-chain)"",""[Docs](https://docs.blockdaemon.com/docs/bnb)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-testnet-dedicated-recent-state,56,,!offer:blockdaemon-dedicated-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/bnb-chain)"",""[Docs](https://docs.blockdaemon.com/docs/bnb)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-basic-full-archive,56,,!offer:blockeden-basic-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-basic-recent-state,56,,!offer:blockeden-basic-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-50-full-archive,56,,!offer:blockeden-enterprise-50-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-50-recent-state,56,,!offer:blockeden-enterprise-50-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-500-full-archive,56,,!offer:blockeden-enterprise-500-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-500-recent-state,56,,!offer:blockeden-enterprise-500-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-free-full-archive,56,,!offer:blockeden-free-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-free-recent-state,56,,!offer:blockeden-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-pro-full-archive,56,,!offer:blockeden-pro-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-pro-recent-state,56,,!offer:blockeden-pro-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-testnet-basic-full-archive,56,,!offer:blockeden-basic-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-testnet-basic-recent-state,56,,!offer:blockeden-basic-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-testnet-enterprise-50-full-archive,56,,!offer:blockeden-enterprise-50-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-testnet-enterprise-50-recent-state,56,,!offer:blockeden-enterprise-50-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-testnet-enterprise-500-full-archive,56,,!offer:blockeden-enterprise-500-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-testnet-enterprise-500-recent-state,56,,!offer:blockeden-enterprise-500-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-testnet-free-full-archive,56,,!offer:blockeden-free-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-testnet-free-recent-state,56,,!offer:blockeden-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-testnet-pro-full-archive,56,,!offer:blockeden-pro-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-testnet-pro-recent-state,56,,!offer:blockeden-pro-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-dedicated-full-archive,56,,!offer:blockpi-dedicated-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-dedicated-recent-state,56,,!offer:blockpi-dedicated-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-elementary-full-archive,56,,!offer:blockpi-elementary-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/bsc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-elementary-recent-state,56,,!offer:blockpi-elementary-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/bsc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-full-archive,56,,!offer:blockpi-free-full-archive,"[""[Website](https://blockpi.io/chain/bsc/)"",""[Docs](https://docs.blockpi.io/build/api-reference/bsc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-recent-state,56,,!offer:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/bsc/)"",""[Docs](https://docs.blockpi.io/build/api-reference/bsc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-pay-as-you-go-full-archive,56,,!offer:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/bsc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-pay-as-you-go-recent-state,56,,!offer:blockpi-pay-as-you-go-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/bsc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-premium-full-archive,56,,!offer:blockpi-premium-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/bsc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-premium-recent-state,56,,!offer:blockpi-premium-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/bsc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
